Version,MRR,P@1,P@10,NDCG@10,Latency,N_Queries
hybrid_optimized_v10,0.8500,0.7000,0.4631,0.7278,0.1147,10
hybrid_optimized_v11,0.7867,0.7000,0.4119,0.6319,0.4945,10
hybrid_optimized_v12,0.8750,0.8000,0.4046,0.7423,0.1570,10
hybrid_optimized_v16,0.8250,0.7000,0.4524,0.7166,0.1353,10
hybrid_optimized_v17,0.8750,0.8000,0.4560,0.7375,0.1038,10
hybrid_optimized_v18,0.8833,0.8000,0.4625,0.7256,0.1001,10
hybrid_optimized_v19,0.9500,0.9000,0.4536,0.7685,0.0998,10
hybrid_optimized_v2,0.8250,0.7000,0.4661,0.7258,0.1023,10
hybrid_optimized_v20,0.8833,0.8000,0.2967,0.7723,0.1112,10
hybrid_optimized_v21,0.8167,0.7000,0.3710,0.6599,0.0000,10
hybrid_optimized_v22,0.8833,0.8000,0.4554,0.7256,0.1041,10
hybrid_optimized_v23,0.9500,0.9000,0.4554,0.7626,0.1009,10
hybrid_optimized_v3,0.8250,0.7000,0.3960,0.7156,0.1351,10
hybrid_optimized_v4,0.8250,0.7000,0.4624,0.7387,0.1080,10
hybrid_optimized_v5,0.8000,0.7000,0.4231,0.6614,0.0610,10
hybrid_optimized_v6,0.7500,0.6000,0.3899,0.6590,0.0832,10
hybrid_optimized_v7,0.8033,0.7000,0.4417,0.7202,0.1416,10
hybrid_optimized_v8,0.8033,0.7000,0.3685,0.6726,0.2557,10
hybrid_optimized_v9,0.8750,0.8000,0.4560,0.7330,0.0952,10
